Kind;Code;Dimensions(cm);Height;Depth;Width;Color;In_stock;Minimal_stock;Customer_price;NbPartsByLocker;Supplier1_price;Supplier1_shipping_time;Supplier2_price;Supplier2_shipping_time
Angle iron;ANG50WHCUT;50(h) to cut;50;0;0;White;84;32;1,1;4;0,69;3;0,42;9
Angle iron;ANG50MACUT;50(h) to cut;50;0;0;Marron;86;32;0,88;4;0,57;9;0,32;13
Angle iron;ANG50GACUT;50(h) to cut;50;0;0;Galva;82;32;1,1;4;0,72;8;0,44;15
Angle iron;ANG50BLCUT;50(h) to cut;50;0;0;Black;82;32;0,77;4;0,51;6;0,32;12
Angle iron;ANG75WHCUT;75(h) to cut;75;0;0;White;89;32;1,32;4;0,81;12;0,54;18
Angle iron;ANG75MACUT;75(h) to cut;75;0;0;Marron;83;32;1,06;4;0,69;12;0,44;12
Angle iron;ANG75GACUT;75(h) to cut;75;0;0;Galva;84;32;1,32;4;0,87;4;0,48;13
Angle iron;ANG75BLCUT;75(h) to cut;75;0;0;Black;81;32;0,92;4;0,59;13;0,37;13
Angle iron;ANG100WHCUT;100(h) to cut;100;0;0;White;85;32;1,72;4;1,08;6;0,72;18
Angle iron;ANG100MACUT;100(h) to cut;100;0;0;Marron;84;32;1,38;4;0,87;12;0,52;8
Angle iron;ANG100GACUT;100(h) to cut;100;0;0;Galva;84;32;1,72;4;1,13;5;0,62;12
Angle iron;ANG100BLCUT;100(h) to cut;100;0;0;Black;87;32;1,2;4;0,77;10;0,46;14
Angle iron;ANG125WHCUT;125(h) to cut;125;0;0;White;83;32;1,94;4;1,28;7;0,78;13
Angle iron;ANG125MACUT;125(h) to cut;125;0;0;Marron;84;32;1,55;4;1,04;7;0,58;11
Angle iron;ANG125GACUT;125(h) to cut;125;0;0;Galva;83;32;1,94;4;1,26;6;0,79;14
Angle iron;ANG125BLCUT;125(h) to cut;125;0;0;Black;86;32;1,36;4;0,83;13;0,53;15
Angle iron;ANG150WHCUT;150(h) to cut;150;0;0;White;89;32;2,54;4;1,62;11;0,96;14
